name,RTP,Predator_Size
Active Cephs,3.691645468,10
Active Cephs,3.232117812,1.5
Active Cephs,2.987662544,3
Active Cephs,2.566660714,3
Active Cephs,3.127370556,3
Active Cephs,3.241864474,4
Active Cephs,3.184064012,2.5
Active Cephs,3.279952097,2.1
Active Cephs,3.314516474,3.1
Active Cephs,3.122346479,2.5
Active Cephs,3.605922215,4.1
Active Cephs,2.908284324,2.1
Active Cephs,2.925606574,1.85
Active Cephs,2.902032876,2.4
Active Cephs,2.997481315,2.65
Active Cephs,3.102568818,3.1
Active Cephs,3.255801126,2.4
Active Cephs,3.0874524,2.55
Active Cephs,3.339842174,3.7
Active Cephs,3.304433556,3.47
Inactive Cephs,2.315393994,9.5
Inactive Cephs,2.216598798,6.5
Inactive Cephs,2.402041274,5
Inactive Cephs,2.227063401,0.5
Inactive Cephs,3.300140132,23
Inactive Cephs,2.75447312,7
Inactive Cephs,3.046865971,3
Inactive Cephs,2.373404814,0.71
Inactive Cephs,2.746116189,142
Inactive Cephs,2.399812418,41.5
Inactive Cephs,2.707260394,6.7
Inactive Cephs,2.79790417,1.05
Inactive Cephs,2.830819393,0.28
Inactive Cephs,2.727647353,5.5
Inactive Cephs,2.478430916,1.17
Inactive Cephs,2.779706631,1.75
Inactive Cephs,2.790558828,0.65
Inactive Cephs,2.662895487,0.6
Inactive Cephs,2.341177728,1.22
Inactive Cephs,3.139856897,8.5
Inactive Cephs,3.427933597,29.5
Inactive Cephs,2.812080554,4.3
Inactive Cephs,2.120539399,2.3
Inactive Cephs,1.984180591,0.7
Inactive Cephs,2.539878766,2
Inactive Cephs,2.926040176,4.5
Inactive Cephs,2.849169091,10
Inactive Cephs,2.661148876,9.5
Inactive Cephs,2.48921974,1.3
Inactive Cephs,2.618944586,1
Inactive Cephs,2.02586926,5.55
Inactive Cephs,1.556396945,0.52
Inactive Cephs,2.274382278,1
Inactive Cephs,2.576098136,0.41
Inactive Cephs,2.509734581,1.74
Inactive Cephs,2.73874594,2.56
Inactive Cephs,2.872104983,0.19
Inactive Cephs,2.609310517,3.3
Inactive Cephs,3.116595712,4.75
Inactive Cephs,3.378520894,0.2
Inactive Cephs,2.541355848,2.3
Inactive Cephs,2.154117725,1.4
Inactive Cephs,2.676599314,0.34
Inactive Cephs,2.075039061,0.24
Inactive Cephs,2.595592629,0.3
Inactive Cephs,2.503385068,0.11
Inactive Cephs,2.683969118,5.3
Inactive Cephs,2.544042059,0.25
Inactive Cephs,2.707624412,0.12
Inactive Cephs,2.556600829,0.65
Inactive Cephs,2.687142353,0.5
Inactive Cephs,2.845643235,0.38
Inactive Cephs,2.885405882,0.22
Inactive Cephs,3.003690612,20.5
Inactive Cephs,2.966288235,6.5
Inactive Cephs,2.979743259,0.4
Inactive Cephs,3.648123206,211.5
Inactive Cephs,3.395336938,56
Inactive Cephs,3.068144118,1.62
Inactive Cephs,2.339683871,2
Inactive Cephs,2.656481471,0.15
Inactive Cephs,2.725979957,1.3
Inactive Cephs,2.675373529,0.22
Inactive Cephs,2.664128739,174
Inactive Cephs,2.903835953,13
Inactive Cephs,2.595440568,8.5
Inactive Cephs,2.891164706,19.5
Inactive Cephs,2.783671176,14.5
Inactive Cephs,2.83523577,1.5
Inactive Cephs,2.758515588,2
Inactive Cephs,2.262582353,2.5
Inactive Cephs,2.302295882,0.95
Inactive Cephs,2.707492647,0.86
Inactive Cephs,2.734664412,3.9
Inactive Cephs,2.651786765,0.5
Inactive Cephs,2.472748529,3.5
Inactive Cephs,3.013462876,8
Inactive Cephs,2.633353986,0.5
Active Cephs,3.638032153,28.5
Active Cephs,1.475148261,0.88
Active Cephs,2.606677941,1.25
Active Cephs,3.636447059,7.25
Active Cephs,3.066482953,2.5
Active Cephs,3.313128856,2.95
Active Cephs,3.691593174,2.83
Active Cephs,2.960805935,2.55
Active Cephs,3.592558824,5.02
Active Cephs,4.044237494,4.7
Active Cephs,2.185813922,1.35
Active Cephs,2.000197126,1.73
Active Cephs,3.304629876,2.15
Active Cephs,2.57389003,1.13
Active Cephs,3.88093685,6.2
Active Cephs,3.640080456,2.14
Active Cephs,3.329348376,1.83
Active Cephs,3.373431703,2.6
Active Cephs,3.825299779,4.9
Active Cephs,3.572511221,1.58
Active Cephs,3.423411803,3.5
Active Cephs,3.606234097,3.5
Active Cephs,3.152510821,1.51
Active Cephs,2.463840923,0.44
Active Cephs,2.734423371,0.28
Active Cephs,2.599132147,0.36
Active Cephs,3.284779412,2.25
Active Cephs,3.841569988,2.85
Active Cephs,3.161791774,1.5
Active Cephs,3.071658824,1.1
Active Cephs,3.271520588,2.4
Active Cephs,3.405105571,3.3
Active Cephs,3.048809056,0.74
Active Cephs,3.443964706,2
Active Cephs,3.746041176,4.3
Active Cephs,3.762310338,3.91
Active Cephs,3.964110506,3.35
Active Cephs,3.289668565,0.84
Active Cephs,3.299548838,1.5
Active Cephs,3.326877129,1.3
Active Cephs,2.922732353,0.44
Active Cephs,3.037202788,0.45
Active Cephs,4.021939421,21
Active Cephs,4.376074268,720.5
Active Cephs,2.876058103,0.63
Active Cephs,2.9768038,0.58
Active Cephs,3.156491847,0.17
Active Cephs,2.960596765,0.95
Active Cephs,3.219098518,0.56
Active Cephs,3.366345962,0.2
Active Cephs,3.313926476,0.13
Active Cephs,3.254266279,0.29
Active Cephs,2.072135172,0.13
Active Cephs,3.545014618,0.33
Active Cephs,2.964773221,0.12
Active Cephs,3.286834032,0.26
Active Cephs,2.775938949,0.49
Active Cephs,3.055507979,0.55
Active Cephs,2.737967652,0.73
Active Cephs,2.683181402,0.24
Active Cephs,2.985009068,0.52
Active Cephs,3.325186188,0.47
Active Cephs,3.806368397,0.05
Active Cephs,3.113222071,0.26
Active Cephs,3.492026653,2.2
Active Cephs,3.189760571,1.2
Active Cephs,2.859556818,0.1
Active Cephs,2.301380378,0.1
Active Cephs,2.806872266,1.5
Active Cephs,3.010609068,1
Active Cephs,2.762269073,31
Active Cephs,3.304731771,16.5
Active Cephs,3.209744118,0.33
Active Cephs,3.323117585,0.44
Active Cephs,3.291091176,0.37
Active Cephs,3.198561765,0.87
Active Cephs,3.147932353,1.41
Active Cephs,2.916481903,0.86
Active Cephs,3.194043062,1.43
Active Cephs,3.171809903,0.3
Active Cephs,3.382209491,1.1
Active Cephs,3.445005165,1.3
Active Cephs,3.261120588,1.04
Active Cephs,3.611123944,1.2
Active Cephs,3.141382324,0.6
Active Cephs,3.171838235,0.5
Active Cephs,3.260068394,0.5
Active Cephs,4.000886874,0.4
Active Cephs,2.898383632,0.9
Active Cephs,2.148325854,1.06
Active Cephs,3.151319803,0.95
Active Cephs,2.89315,0.26
Active Cephs,3.153985444,0.66
Active Cephs,3.533997059,1.62
Active Cephs,2.9502,1.35
Active Cephs,2.940068071,0.32
Active Cephs,2.919858824,0.18
Active Cephs,3.153228982,1.17
Active Cephs,3.449281524,0.7
Active Cephs,3.009431712,0.51
Active Cephs,3.385312047,1.62
Active Cephs,3.252432044,0.55
Active Cephs,3.247072985,0.25
Active Cephs,3.378879135,0.37
Active Cephs,3.028197032,0.5
Active Cephs,3.082357144,1
Active Cephs,2.798974128,1
Active Cephs,2.986047656,1.5
Active Cephs,3.60410075,8.5
